--- 25/26 TACTICAL RANKINGS (Bayesian Gravity Applied) ---

--- TOP 10 STRIKERS ---
1. Marcus Thuram (Serie A) - Score: 83.5 | Confidence: 97% | Cluster: Poacher / Ball Carrier
2. Harry Kane (Bundesliga) - Score: 82.5 | Confidence: 100% | Cluster: Poacher / Ball Carrier
3. Lautaro Martφnez (Serie A) - Score: 77.9 | Confidence: 100% | Cluster: Poacher / Ball Carrier
4. Joπo Pedro (Premier League) - Score: 77.9 | Confidence: 100% | Cluster: Poacher / Ball Carrier
5. Nikola Krstovic (Serie A) - Score: 77.6 | Confidence: 87% | Cluster: Poacher / Ball Carrier
6. Hugo EkitikΘ (Premier League) - Score: 77.2 | Confidence: 100% | Cluster: Poacher / Ball Carrier
7. Deniz Undav (Bundesliga) - Score: 72.5 | Confidence: 100% | Cluster: Poacher / Ball Carrier
8. Kylian MbappΘ (La Liga) - Score: 70.4 | Confidence: 100% | Cluster: Poacher / Ball Carrier
9. Gabriel Jesus (Premier League) - Score: 68.9 | Confidence: 54% | Cluster: Poacher / Ball Carrier
10. Lucas BoyΘ (La Liga) - Score: 68.6 | Confidence: 100% | Cluster: Poacher / Ball Carrier

--- TOP 10 WINGERS ---
1. Bukayo Saka (Premier League) - Score: 88.6 | Confidence: 100% | Cluster: Ball Carrier / Poacher
2. Michael Olise (Bundesliga) - Score: 86.7 | Confidence: 100% | Cluster: Ball Carrier / Poacher
3. Rayan Cherki (Premier League) - Score: 86.6 | Confidence: 97% | Cluster: Ball Carrier / Poacher
4. Lamine Yamal (La Liga) - Score: 84.9 | Confidence: 100% | Cluster: Ball Carrier / Poacher
5. JΘrΘmy Doku (Premier League) - Score: 84.2 | Confidence: 86% | Cluster: Ball Carrier / Poacher
6. Noni Madueke (Premier League) - Score: 80.1 | Confidence: 100% | Cluster: Ball Carrier / Poacher
7. Luis Dφaz (Bundesliga) - Score: 78.5 | Confidence: 100% | Cluster: Ball Carrier / Poacher
8. Francisco Conceiτπo (Serie A) - Score: 77.7 | Confidence: 96% | Cluster: Ball Carrier / Poacher
9. Khvicha Kvaratskhelia (Ligue 1) - Score: 77.1 | Confidence: 76% | Cluster: Ball Carrier / Poacher
10. Leandro Trossard (Premier League) - Score: 74.5 | Confidence: 100% | Cluster: Ball Carrier / Poacher

--- TOP 10 MFS ---
1. Manuel Locatelli (Serie A) - Score: 85.1 | Confidence: 100% | Cluster: Progressive / Creative
2. Declan Rice (Premier League) - Score: 84.7 | Confidence: 100% | Cluster: Progressive / Creative
3. Pedri (La Liga) - Score: 82.5 | Confidence: 100% | Cluster: Progressive / Creative
4. Elliot Anderson (Premier League) - Score: 82.0 | Confidence: 100% | Cluster: Progressive / Creative
5. Jude Bellingham (La Liga) - Score: 78.0 | Confidence: 90% | Cluster: Progressive / Creative
6. Dani Olmo (La Liga) - Score: 77.8 | Confidence: 97% | Cluster: Progressive / Creative
7. Bruno Guimarπes (Premier League) - Score: 76.9 | Confidence: 100% | Cluster: Progressive / Creative
8. Valentin Rongier (Ligue 1) - Score: 76.7 | Confidence: 100% | Cluster: Progressive / Creative
9. Joshua Kimmich (Bundesliga) - Score: 76.4 | Confidence: 100% | Cluster: Progressive / Creative
10. Benjamin AndrΘ (Ligue 1) - Score: 75.2 | Confidence: 100% | Cluster: Progressive / Creative

--- TOP 10 DEFS ---
1. Alessandro Bastoni (Serie A) - Score: 81.8 | Confidence: 100% | Cluster: Progressive / Ball Carrier
2. Matheus Nunes (Premier League) - Score: 80.2 | Confidence: 100% | Cluster: Progressive / Ball Carrier
3. Reece James (Premier League) - Score: 78.2 | Confidence: 100% | Cluster: Progressive / Ball Carrier
4. Maximilian MittelstΣdt (Bundesliga) - Score: 77.2 | Confidence: 100% | Cluster: Progressive / Ball Carrier
5. GuΘla DouΘ (Ligue 1) - Score: 75.6 | Confidence: 100% | Cluster: Progressive / Ball Carrier
6. Emerson (Ligue 1) - Score: 75.1 | Confidence: 100% | Cluster: Progressive / Ball Carrier
7. Gerard Martφn (La Liga) - Score: 75.1 | Confidence: 97% | Cluster: Progressive / Ball Carrier
8. Dayot Upamecano (Bundesliga) - Score: 75.1 | Confidence: 97% | Cluster: Progressive / Ball Carrier
9. Jacobo Ram≤n (Serie A) - Score: 74.7 | Confidence: 100% | Cluster: Progressive / Ball Carrier
10. Eric Garcφa (La Liga) - Score: 74.7 | Confidence: 100% | Cluster: Progressive / Ball Carrier
